date,symbol,news_count,avg_sentiment
2023-08-16,USDJPY,5,-0.185580
2023-08-16,AUDUSD,21,-0.026590
2023-08-16,USDCAD,10,0.104080
2023-08-16,XAUUSD,1,0.990900
2023-08-17,EURUSD,31,-0.003877
2023-08-17,GBPUSD,21,0.199605
2023-08-17,USDJPY,9,0.356833
2023-08-17,AUDUSD,21,-0.066795
2023-08-17,USDCAD,7,0.146629
2023-08-17,XAUUSD,0,0.000000
2023-08-18,EURUSD,34,0.018271
2023-08-18,GBPUSD,22,-0.000014
2023-08-18,USDJPY,4,0.958425
2023-08-18,AUDUSD,8,0.053012
2023-08-18,USDCAD,9,0.090289
2023-08-18,XAUUSD,0,0.000000
2023-08-19,EURUSD,5,-0.189660
2023-08-19,GBPUSD,3,-0.144967
2023-08-19,USDJPY,0,0.000000
2023-08-19,AUDUSD,2,0.038600
2023-08-19,USDCAD,1,-0.102700
2023-08-19,XAUUSD,0,0.000000
2023-08-20,EURUSD,1,-0.796400
2023-08-20,GBPUSD,1,0.000000
2023-08-20,USDJPY,0,0.000000
2023-08-20,AUDUSD,2,-0.769650
2023-08-20,USDCAD,0,0.000000
2023-08-20,XAUUSD,0,0.000000
2023-08-21,EURUSD,30,0.193143
2023-08-21,GBPUSD,24,-0.040408
2023-08-21,USDJPY,3,0.431700
2023-08-21,AUDUSD,18,-0.062811
2023-08-21,USDCAD,7,0.209114
2023-08-21,XAUUSD,1,0.970700
2023-08-22,EURUSD,22,0.034918
2023-08-22,GBPUSD,26,0.270338
2023-08-22,USDJPY,6,0.306633
2023-08-22,AUDUSD,13,0.005608
2023-08-22,USDCAD,7,0.096529
2023-08-22,XAUUSD,0,0.000000
2023-08-23,EURUSD,50,-0.133048
2023-08-23,GBPUSD,29,-0.042328
2023-08-23,USDJPY,8,0.043112
2023-08-23,AUDUSD,12,0.271908
2023-08-23,USDCAD,9,-0.038356
2023-08-23,XAUUSD,1,0.986000
2023-08-24,EURUSD,34,-0.167891
2023-08-24,GBPUSD,24,0.064871
2023-08-24,USDJPY,2,0.934250
2023-08-24,AUDUSD,12,0.195275
2023-08-24,USDCAD,9,-0.149767
2023-08-24,XAUUSD,0,0.000000
2023-08-25,EURUSD,40,0.216685
2023-08-25,GBPUSD,27,0.072796
2023-08-25,USDJPY,5,0.604100
2023-08-25,AUDUSD,15,0.089220
2023-08-25,USDCAD,11,0.320800
2023-08-25,XAUUSD,0,0.000000
2023-08-26,EURUSD,6,0.050050
2023-08-26,GBPUSD,3,-0.010067
2023-08-26,USDJPY,0,0.000000
2023-08-26,AUDUSD,2,0.312550
2023-08-26,USDCAD,1,-0.023700
2023-08-26,XAUUSD,0,0.000000
2023-08-27,EURUSD,2,-0.020900
